oomp_id,part_number_distributor_orbital_fasteners,part_number_manufacturer_metalmate,distributor_current,quantity_current,price_1_distributor_orbital_fasteners,price_100_distributor_orbital_fasteners,price_200_distributor_orbital_fasteners,price_1000_distributor_orbital_fasteners,price_10000_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,webpage_manufacturer_metalmate,name_manufacturer_metalmate,box_size_manufacturer_metalmate,box_of_box_size_manufacturer_metalmate,commonity_code,barcode_manufacturer_metalmate,price_1,price_100,price_200,price_1000,price_10000,price_current,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth,project_bolt_tray_capacity_oobb_4_width_2_5_length_18_mm_depth_weight,project_bolt_tray_capacity_oobb_2_5_width_2_length_18_mm_depth,weight,weight_10,part_number_distributor_accu,part_number_distributor_accu_search,price_1_distributor_accu,price_100_distributor_accu,price_200_distributor_accu,price_1000_distributor_accu,price_10000_distributor_accu,webpage_distributor_accu
hardware_set_screw_m5_10_mm_length,1851070,Z0318M470010,orbital_fasteners,200,0.0232,0.0232,0.0232,0.0128,0.0103,https://www.orbitalfasteners.co.uk/products/m5-x-10-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-10-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470010,M5 x 10 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,9000,7318158880,5050420654067,0.0232,0.0232,0.0232,0.0128,0.0103,0.0232,,,,,,,,,,,,,
hardware_set_screw_m5_12_mm_length,1851080,Z0318M470012,orbital_fasteners,200,0.0254,0.0254,0.0254,0.0142,0.0113,https://www.orbitalfasteners.co.uk/products/m5-x-12-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-12-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470012,M5 x 12 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654074,0.0254,0.0254,0.0254,0.0142,0.0113,0.0254,,,,,,,,,,,,,
hardware_set_screw_m5_16_mm_length,1851090,Z0318M470016,orbital_fasteners,200,0.029,0.029,0.029,0.0162,0.013,https://www.orbitalfasteners.co.uk/products/m5-x-16-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-16-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470016,M5 x 16 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,6000,7318158880,5050420654081,0.029,0.029,0.029,0.0162,0.013,0.029,,,,,,,,,,,,,
hardware_set_screw_m5_20_mm_length,1851100,Z0318M470020,orbital_fasteners,200,0.0328,0.0328,0.0328,0.0182,0.0145,https://www.orbitalfasteners.co.uk/products/m5-x-20-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-20-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470020,M5 x 20 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,5000,7318158880,5050420654098,0.0328,0.0328,0.0328,0.0182,0.0145,0.0328,,,,,,,,,,,,,
hardware_set_screw_m5_22_mm_length,1851105,Z0318M470022,orbital_fasteners,200,0.108,0.108,0.108,0.06,0.048,https://www.orbitalfasteners.co.uk/products/m5-x-22-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,,,,,,,0.108,0.108,0.108,0.06,0.048,0.108,,,,,,,,,,,,,
hardware_set_screw_m5_25_mm_length,1851110,Z0318M470025,orbital_fasteners,200,0.0379,0.0379,0.0379,0.0211,0.0168,https://www.orbitalfasteners.co.uk/products/m5-x-25-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,,,,,,,0.0379,0.0379,0.0379,0.0211,0.0168,0.0379,,,,,,,,,,,,,
hardware_set_screw_m5_30_mm_length,1851120,Z0318M470030,orbital_fasteners,200,0.0424,0.0424,0.0424,0.0235,0.0188,https://www.orbitalfasteners.co.uk/products/m5-x-30-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-30-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470030,M5 x 30 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),500,4000,7318158880,5050420672283,0.0424,0.0424,0.0424,0.0235,0.0188,0.0424,,,,,,,,,,,,,
hardware_set_screw_m5_35_mm_length,1851130,Z0318M470035,orbital_fasteners,200,0.0481,0.0481,0.0481,0.0268,0.0214,https://www.orbitalfasteners.co.uk/products/m5-x-35-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,,,,,,,0.0481,0.0481,0.0481,0.0268,0.0214,0.0481,,,,,,,,,,,,,
hardware_set_screw_m5_40_mm_length,1851140,Z0318M470040,orbital_fasteners,200,0.0481,0.0481,0.0268,0.0241,0.0214,https://www.orbitalfasteners.co.uk/products/m5-x-40-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-40-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470040,M5 x 40 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2400,7318158880,5050420654104,0.0481,0.0481,0.0268,0.0241,0.0214,0.0268,,,,,,,,,,,,,
hardware_set_screw_m5_50_mm_length,1851141,Z0318M470050,orbital_fasteners,200,0.062,0.062,0.0344,0.0276,0.0276,https://www.orbitalfasteners.co.uk/products/m5-x-50-hexagon-head-set-screws-high-tensile-grade-8-8-bright-zinc-plated,https://www.harclob2b.com/m5-x-50-high-tensile-set-gr-8-8-zinc-plated-metalm-z0318m470050,M5 x 50 High Tensile Set Gr 8.8 Zinc Plated Metalmate DIN 933 (ISO 4017),200,2000,7318158880,5050420654111,0.062,0.062,0.0344,0.0276,0.0276,0.0344,,,,,,,,,,,,,
